episode,reward,avg_reward,steps,epsilon
119,-10000.0,-400.0,2,0.9973309654782051
120,-10000.0,-400.0,3,0.9973175056146721
121,50000.0,-400.0,5,0.9972950729574411
122,-10000.0,-400.0,4,0.9972771272354398
123,-10000.0,-400.0,1,0.9972726408610196
124,-10000.0,-400.0,2,0.9972636681794745
125,50000.0,-400.0,13,0.9972053479364713
126,-10000.0,-400.0,1,0.9972008619209467
127,-10000.0,-400.0,6,0.9971739462988254
128,-10000.0,-400.0,22,0.9970752625924358
129,-10000.0,-400.0,2,0.9970662918846634
130,50000.0,200.0,11,0.9970169545953977
131,50000.0,800.0,8,0.9969810746348179
132,-10000.0,800.0,1,0.996976589740657
133,-10000.0,800.0,2,0.9969676200196083
134,-10000.0,200.0,3,0.9969541656062164
135,-10000.0,200.0,1,0.9969496808466002
136,-10000.0,200.0,24,0.9968420533426781
137,-10000.0,200.0,1,0.9968375691436218
138,-10000.0,200.0,1,0.9968330849669865
139,-10000.0,200.0,4,0.9968151484846526
140,50000.0,800.0,11,0.996765825007894
141,-10000.0,800.0,1,0.9967613411899785
142,-10000.0,800.0,2,0.9967523736214046
143,-10000.0,800.0,2,0.9967434061425058
144,50000.0,1400.0,15,0.9966761529090729
145,-10000.0,1400.0,3,0.9966627028676548
146,-10000.0,1400.0,7,0.9966313202222539
147,-10000.0,1400.0,8,0.9965954556867405
148,50000.0,2000.0,8,0.9965595925857799
149,-10000.0,2000.0,1,0.996555109799024
150,-10000.0,1400.0,7,0.9965237309193146
151,-10000.0,1400.0,7,0.9964923531378468
152,-10000.0,1400.0,32,0.9963489258358349
153,50000.0,2000.0,3,0.996335480702786
154,-10000.0,2000.0,4,0.9963175541724378
155,-10000.0,2000.0,2,0.996308591041712
156,-10000.0,2000.0,2,0.9962996280006168
157,-10000.0,2000.0,1,0.9962951465136805
158,-10000.0,2000.0,2,0.99628618360703
159,-10000.0,2000.0,2,0.996277220790008
160,-10000.0,2000.0,4,0.9962592954248466
161,-10000.0,2000.0,1,0.9962548141395726
162,-10000.0,2000.0,5,0.9962324080492965
163,-10000.0,2000.0,2,0.9962234457700274
164,-10000.0,1400.0,2,0.9962144835803807
165,50000.0,1400.0,10,0.9961696739764512
166,-10000.0,1400.0,1,0.9961651931392833
167,50000.0,2000.0,13,0.9961069442948373
168,-10000.0,1400.0,1,0.9961024637713171
169,-10000.0,1400.0,9,0.9960621400677375
170,50000.0,2000.0,15,0.9959949379273442
171,-10000.0,2000.0,3,0.9959814981040742
172,-10000.0,2000.0,9,0.9959411798438272
173,-10000.0,2000.0,4,0.9959232611994173
174,-10000.0,2000.0,3,0.9959098224512902
175,-10000.0,2000.0,1,0.9959053429133768
176,-10000.0,1400.0,7,0.9958739867751104
177,-10000.0,1400.0,2,0.9958650280800363
178,-10000.0,1400.0,2,0.9958560694745485
179,-10000.0,1400.0,12,0.9958023197228888
180,-10000.0,1400.0,1,0.9957978407224877
181,-10000.0,800.0,4,0.9957799249448317
182,50000.0,800.0,6,0.9957530519501802
183,-10000.0,800.0,6,0.9957261797617065
184,-10000,800.0,1,0.9957217011420043
185,-10000.0,800.0,2,0.9957127439697787
186,-10000.0,800.0,4,0.9956948298940408
187,-10000.0,800.0,1,0.9956903514310874
188,-10000.0,800.0,1,0.9956858729905264
189,-10000.0,800.0,7,0.995654524533573
190,-10000.0,800.0,1,0.9956500462721459
191,-10000.0,800.0,5,0.9956276553008775
192,-10000.0,800.0,4,0.9956097429268959
193,-10000.0,200.0,4,0.995591830911158
194,-10000.0,200.0,3,0.995578397134448
195,-10000.0,200.0,4,0.9955604857456197
196,-10000.0,200.0,1,0.9955560079543854
197,-10000.0,-400.0,40,0.9953769146627207
198,-10000.0,-400.0,7,0.9953455770191194
199,-10000.0,-1000.0,6,0.9953187170547104
200,50000.0,-400.0,14,0.9952560469379962
201,-10000.0,-1000.0,6,0.9952291896594493
202,-10000.0,-1000.0,6,0.9952023331866087
203,-10000.0,-1000.0,2,0.9951933812080367
204,-10000.0,-1600.0,5,0.9951710016532521
205,50000.0,-1000.0,2,0.9951620499879941
206,-10000.0,-1000.0,9,0.9951217686020825
207,-10000.0,-1000.0,4,0.9951038663457337
208,-10000.0,-1000.0,13,0.9950456864852871
209,-10000.0,-1000.0,2,0.9950367360731743
210,-10000.0,-1000.0,5,0.9950143604344692
211,50000.0,-400.0,15,0.9949472368746016
212,-10000.0,-1000.0,5,0.9949248634733483
213,-10000.0,-1000.0,2,0.9949159142694597
214,-10000.0,-1000.0,8,0.9948801183488122
215,-10000.0,-1000.0,1,0.9948756439594064
216,-10000.0,-1000.0,1,0.9948711695923725
217,-10000,-1000.0,1,0.9948666952477104
218,-10000.0,-1000.0,5,0.9948443238599727
219,-10000.0,-1000.0,14,0.99478168694962
220,-10000.0,-1000.0,14,0.9947190544236976
221,-10000.0,-1600.0,2,0.9947101072778891
222,-10000.0,-1600.0,1,0.9947056337385365
223,-10000.0,-1600.0,10,0.994660899575213
224,-10000.0,-1600.0,10,0.9946161676485418
225,-10000.0,-2200.0,4,0.9945982755041108
226,-10000.0,-2200.0,4,0.9945803837175192
227,-10000.0,-2200.0,3,0.9945669651124032
228,-10000.0,-2200.0,6,0.9945401285060009
229,50000.0,-1600.0,14,0.9944775128885777
230,-10000.0,-2200.0,4,0.9944596235172142
231,-10000.0,-2800.0,1,0.9944551512302774
232,-10000.0,-2800.0,5,0.9944327901310115
233,-10000.0,-2800.0,2,0.9944238458478317
234,-10000.0,-2800.0,1,0.9944193737397827
235,-10000.0,-2800.0,6,0.9943925415610553
236,-10000.0,-2800.0,11,0.9943433513240133
237,-10000.0,-2800.0,5,0.9943209930197102
238,50000.0,-2200.0,7,0.9942896923327197
239,-10000.0,-2200.0,1,0.9942852208954367
240,-10000.0,-2800.0,21,0.9941913258768174
241,-10000.0,-2800.0,8,0.9941555589391259
242,-10000.0,-2800.0,2,0.9941466174282441
243,50000.0,-2200.0,6,0.9941197934320831
244,-10000.0,-2800.0,14,0.9940572072370853
245,-10000.0,-2800.0,1,0.9940527369622248
246,-10000.0,-2800.0,5,0.9940303859231898
247,-10000.0,-2800.0,2,0.994021445664032
248,-10000.0,-3400.0,2,0.9940125054942763
249,-10000.0,-3400.0,5,0.9939901554610155
250,-10000.0,-3400.0,3,0.9939767457092571
251,-10000.0,-3400.0,4,0.993958866353137
252,-10000.0,-3400.0,9,0.9939186391092709
253,-10000.0,-4000.0,1,0.9939141695272493
254,-10000.0,-4000.0,3,0.9939007609152712
255,-10000.0,-4000.0,2,0.993891821952357
256,-10000.0,-4000.0,1,0.9938873525044208
257,-10000.0,-4000.0,3,0.9938739442946951
258,-10000.0,-4000.0,1,0.993869474936147
259,50000.0,-3400.0,8,0.9938337208722356
260,-10000.0,-3400.0,9,0.9937934992597894
261,-10000.0,-3400.0,1,0.9937890303034655
262,-10000.0,-3400.0,4,0.993771154701616
263,-10000,-3400.0,1,0.9937666858570147
264,-10000,-3400.0,1,0.9937622170347574
265,-10000.0,-4000.0,14,0.9936996558692314
266,-10000.0,-4000.0,4,0.9936817820548527
267,50000.0,-4000.0,9,0.9936415672794995
268,-10000.0,-4000.0,10,0.9935968863181689
269,-10000.0,-4000.0,4,0.9935790145591606
270,50000.0,-4000.0,10,0.9935343367253878
271,-10000.0,-4000.0,9,0.9934941285849251
272,-10000.0,-4000.0,1,0.9934896611254509
273,-10000.0,-4000.0,1,0.9934851936883139
274,-10000.0,-4000.0,3,0.9934717915109252
275,-10000,-4000.0,1,0.993467324163136
276,-10000.0,-4000.0,1,0.9934628568376835
277,50000.0,-3400.0,3,0.9934494549953451
278,-10000.0,-3400.0,1,0.9934449877592381
279,50000.0,-2800.0,5,0.9934226519137433
280,-10000.0,-2800.0,4,0.9934047836393884
281,-10000.0,-2800.0,2,0.9933958496362222
282,-10000.0,-3400.0,1,0.9933913826681413
283,-10000.0,-3400.0,1,0.9933869157223955
284,-10000.0,-3400.0,2,0.9933779818979074
285,-10000.0,-3400.0,1,0.993373515019165
286,-10000.0,-3400.0,32,0.9932305866913331
287,-10000.0,-3400.0,2,0.9932216544301277
288,-10000.0,-3400.0,1,0.9932171883330208
289,-10000.0,-3400.0,3,0.9932037901756822
290,-10000.0,-3400.0,7,0.993172528590107
291,-10000.0,-3400.0,11,0.9931234054519332
292,50000.0,-2800.0,9,0.9930832158029618
293,-10000.0,-2800.0,5,0.9930608890016529
294,-10000.0,-2800.0,1,0.9930564237083711
295,-10000.0,-2800.0,2,0.9930474931887867
296,-10000.0,-2800.0,3,0.9930340975768562
297,-10000.0,-2800.0,8,0.9929983769273709
298,50000.0,-2200.0,12,0.9929447986321202
299,-10000.0,-2200.0,2,0.992935869228781
300,-10000.0,-2800.0,2,0.9929269399147352
301,-10000.0,-2800.0,3,0.9929135461110903
302,-10000.0,-2800.0,2,0.9929046170202748
303,-10000.0,-2800.0,6,0.9928778302835672
304,-10000.0,-2800.0,1,0.9928733659055767
305,-10000.0,-3400.0,1,0.992868901549908
306,-10000.0,-3400.0,16,0.9927974748948883
307,-10000.0,-3400.0,4,0.9927796191239489
308,-10000.0,-3400.0,1,0.992775155237013
309,50000.0,-2800.0,10,0.9927305175952015
310,-10000.0,-2800.0,2,0.9927215903346618
311,-10000.0,-3400.0,2,0.9927126631633945
312,50000.0,-2800.0,12,0.9926591020104553
313,-10000.0,-2800.0,25,0.9925475265963127
314,50000.0,-2200.0,10,0.9925029003356487
315,50000.0,-1600.0,11,0.9924538140260161
316,-10000.0,-1600.0,1,0.9924493517681017
317,-10000.0,-1600.0,6,0.9924225786891467
318,-10000.0,-1600.0,2,0.9924136545079809
319,50000.0,-1000.0,21,0.9923199559935156
320,-10000.0,-1000.0,1,0.9923154944048896
321,-10000.0,-1000.0,7,0.9922842639091223
322,-10000.0,-1000.0,1,0.9922798024989563
323,-10000.0,-1000.0,13,0.9922218061966941
324,50000.0,-400.0,10,0.9921771962216429
325,50000.0,200.0,8,0.9921415098475262
326,-10000.0,200.0,8,0.9921058249008361
327,50000.0,800.0,5,0.9920835225339943
328,-10000.0,800.0,24,0.9919764789340347
329,-10000.0,200.0,1,0.9919720190627898
330,-10000.0,200.0,4,0.9919541798008017
331,-10000.0,200.0,2,0.9919452603036013
332,-10000.0,200.0,2,0.9919363408955952
333,-10000.0,200.0,2,0.991927421576783
334,50000.0,800.0,6,0.9919006641554989
335,-10000.0,800.0,5,0.9918783669176118
336,50000.0,1400.0,6,0.9918516109679455
337,-10000.0,1400.0,13,0.9917936424972283
338,-10000.0,800.0,6,0.9917668890892565
339,-10000.0,800.0,2,0.9917579714649538
340,-10000.0,800.0,1,0.9917535126862433
341,-10000.0,800.0,17,0.9916777168590334
342,-10000.0,800.0,3,0.9916643417935938
343,-10000.0,200.0,1,0.9916598834830306
344,-10000.0,200.0,1,0.9916554251947589
345,-10000.0,200.0,1,0.9916509669287786
346,-10000.0,200.0,4,0.991633134087769
347,-10000.0,200.0,3,0.9916197596910659
348,-10000.0,200.0,1,0.9916153016034127
349,50000.0,800.0,8,0.9915796377046313
350,-10000.0,800.0,12,0.9915261445311803
351,-10000.0,800.0,4,0.9915083141865937
352,50000.0,1400.0,9,0.9914681972150939
353,-10000,1400.0,1,0.9914637398852512
354,50000.0,2000.0,12,0.9914102536654608
355,-10000.0,2000.0,1,0.9914057966253349
356,-10000.0,2000.0,1,0.9914013396074944
357,-10000.0,2000.0,1,0.9913968826119388
358,-10000.0,2000.0,5,0.9913745979684329
359,50000.0,2000.0,22,0.9912765521552748
360,-10000.0,2000.0,3,0.9912631831072606
361,50000.0,2600.0,7,0.9912319894417443
362,50000.0,3200.0,8,0.9911963408751426
363,-10000.0,3200.0,2,0.9911874289562935
364,-10000.0,3200.0,2,0.9911785171265632
365,-10000.0,3200.0,4,0.9911606937344551
366,-10000.0,3200.0,5,0.9911384149955972
367,-10000.0,2600.0,1,0.9911339593146614
368,50000.0,3200.0,5,0.9911116812441556
369,-10000.0,3200.0,1,0.9911072256968882
370,-10000.0,2600.0,2,0.9910983146691865
371,-10000.0,2600.0,2,0.9910894037305946
372,-10000.0,2600.0,2,0.9910804928811117
373,-10000.0,2600.0,2,0.9910715821207366
374,-10000.0,2600.0,2,0.9910626714494689
375,-10000.0,2600.0,6,0.9910359399702996
376,-10000.0,2600.0,5,0.9910136643502467
377,-10000.0,2000.0,2,0.9910047542581537
378,50000.0,2600.0,2,0.9909958442551613
379,-10000.0,2000.0,1,0.9909913892870774
380,-10000.0,2000.0,15,0.9909245674387316
381,-10000.0,2000.0,5,0.9909022946029572
382,50000.0,2600.0,28,0.9907775770121477
383,-10000.0,2600.0,4,0.990759761638762
384,-10000.0,2600.0,4,0.9907419466216799
385,-10000.0,2600.0,2,0.9907330392467507
386,50000.0,3200.0,21,0.9906395171876238
387,-10000.0,3200.0,13,0.9905816275004418
388,-10000.0,3200.0,3,0.9905682688762193
389,-10000.0,3200.0,4,0.9905504576889542
390,-10000.0,3200.0,5,0.9905281942058066
391,-10000.0,3200.0,6,0.990501478760714
392,-10000.0,2600.0,3,0.9904881213387136
393,-10000.0,2600.0,2,0.9904792165020245
394,50000.0,3200.0,7,0.990448050274859
395,-10000.0,3200.0,1,0.9904435980457382
396,-10000.0,3200.0,11,0.9903946249946171
397,-10000.0,3200.0,5,0.9903723654072382
398,-10000.0,2600.0,5,0.990350106376342
399,-10000.0,2600.0,12,0.9902966869725576
400,-10000.0,2600.0,1,0.9902922355002515
401,-10000.0,2600.0,1,0.9902877840502026
402,-10000.0,2600.0,5,0.9902655271338139
403,50000.0,3200.0,4,0.9902477220013232
404,-10000.0,3200.0,7,0.9902165638763235
405,-10000,3200.0,1,0.9902121128046317
406,-10000.0,3200.0,1,0.9902076617551955
407,-10000.0,3200.0,10,0.9901631524848487
408,-10000.0,3200.0,6,0.9901364479908435
409,-10000.0,2600.0,1,0.9901319973197303
410,-10000.0,2600.0,1,0.9901275466708703
411,-10000.0,2600.0,1,0.9901230960442635
412,-10000.0,2000.0,2,0.990114194857809
413,-10000.0,2000.0,2,0.990105293760366
414,-10000.0,1400.0,3,0.990091942281096
415,-10000.0,800.0,22,0.9899940375523039
416,-10000.0,800.0,7,0.9899628883061046
417,-10000.0,800.0,27,0.9898427514256052
418,50000.0,1400.0,4,0.989824954748544
419,50000.0,1400.0,10,0.9897804646130692
420,-10000.0,1400.0,1,0.9897760157218684
421,-10000.0,1400.0,16,0.9897048364878179
422,-10000.0,1400.0,6,0.9896781457430865
423,-10000.0,1400.0,11,0.9896292147906841
424,50000.0,1400.0,4,0.989611422384313
425,-10000.0,800.0,2,0.9896025263145696
426,-10000.0,800.0,2,0.9895936303337864
427,50000.0,800.0,5,0.9895713907710237
428,-10000.0,800.0,6,0.9895447040296037
429,50000.0,1400.0,11,0.9894957804162938
430,-10000.0,1400.0,16,0.989424623600171
431,-10000.0,1400.0,1,0.9894201764881709
432,-10000.0,1400.0,1,0.9894157293984062
433,-10000.0,1400.0,1,0.9894112823308768
434,-10000.0,800.0,2,0.9894023882625239
435,-10000.0,800.0,6,0.9893757065911032
436,-10000.0,200.0,1,0.9893712597236873
437,-10000.0,200.0,5,0.9893490257201205
438,-10000.0,200.0,1,0.9893445789861088
439,-10000.0,200.0,1,0.9893401322743306
440,-10000.0,200.0,27,0.9892200794602208
441,-10000.0,200.0,2,0.989211187303887
442,-10000.0,200.0,1,0.9892067412590656
443,-10000.0,200.0,3,0.989193403257982
444,-10000.0,200.0,1,0.9891889573020807
445,-10000.0,200.0,4,0.9891711737007712
446,-10000.0,200.0,14,0.9891089338970307
447,-10000.0,200.0,14,0.989046698449924
448,-10000.0,200.0,3,0.9890333628494644
449,-10000.0,-400.0,6,0.98900669224864
450,-10000.0,-400.0,1,0.9890022472262914
451,-10000.0,-400.0,2,0.9889933572482691
452,-10000.0,-1000.0,2,0.988984467359146
453,-10000.0,-1000.0,1,0.9889800224479216
454,-10000.0,-1600.0,4,0.9889622430252675
455,-10000.0,-1600.0,1,0.9889577982251644
456,-10000.0,-1600.0,2,0.9889489086916299
457,-10000.0,-1600.0,6,0.988922240624392
458,-10000.0,-1600.0,3,0.9889089068907859
459,-10000.0,-2200.0,1,0.9889044623573628
460,50000.0,-1600.0,11,0.9888555739563766
461,-10000.0,-2200.0,2,0.9888466854450797
462,-10000.0,-2800.0,1,0.988842241222763
463,-10000.0,-2800.0,23,0.9887400302422663
464,-10000.0,-2800.0,3,0.9887266992417955
465,-10000,-2800.0,1,0.9887222556194084
466,50000.0,-2200.0,20,0.9886333878373096
467,-10000.0,-2200.0,4,0.9886156153472783
468,-10000.0,-2800.0,5,0.9885934002345846
469,-10000,-2800.0,1,0.9885889572786909
470,-10000.0,-2800.0,1,0.9885845143450118
471,-10000.0,-2800.0,3,0.9885711856772619
472,-10000.0,-2800.0,3,0.9885578572094406
473,-10000.0,-2800.0,4,0.9885400862300068
474,-10000.0,-2800.0,3,0.9885267582286735
475,-10000.0,-2800.0,3,0.9885134304272589
